cpu ; 780.842224121093750000, 749.859436035156250000,  ,  ,  20296.5 
cpu ; 479.237854003906250000, 450.172912597656250000,  ,  ,  20398.4 
cpu ; 445.622253417968750000, 418.648559570312500000,  ,  ,  20244.8 
cpu ; 447.585815429687500000, 415.841674804687500000,  ,  ,  20418 
cpu ; 447.605895996093750000, 416.566711425781250000,  ,  ,  20353.9 
cpu ; 445.226867675781250000, 417.236999511718750000,  ,  ,  20332.8 
cpu ; 448.330810546875000000, 420.247192382812500000,  ,  ,  20388.2 
cpu ; 444.654113769531250000, 414.885925292968750000,  ,  ,  20253.9 
cpu ; 445.211547851562500000, 417.861450195312500000,  ,  ,  20315.1 
cpu ; 444.654846191406250000, 416.313293457031250000,  ,  ,  20269 
cpu ; 445.759582519531250000, 417.336486816406250000,  ,  ,  20310 
cpu ; 449.478271484375000000, 420.384826660156250000,  ,  ,  20519.7 
cpu ; 447.230834960937500000, 417.610595703125000000,  ,  ,  20387.8 
cpu ; 446.286376953125000000, 417.351440429687500000,  ,  ,  20270.1 
cpu ; 445.091918945312500000, 411.167419433593750000,  ,  ,  20264.1 
cpu ; 445.038269042968750000, 416.980285644531250000,  ,  ,  20288.8 
cpu ; 444.937683105468750000, 415.135253906250000000,  ,  ,  20275.5 
cpu ; 447.076049804687500000, 414.888977050781250000,  ,  ,  20454.7 
cpu ; 446.516357421875000000, 415.060424804687500000,  ,  ,  20295.1 
cpu ; 445.952697753906250000, 414.447021484375000000,  ,  ,  20307.9 
cpu ; 445.049560546875000000, 413.912414550781250000,  ,  ,  20280 
cpu ; 444.733459472656250000, 413.037170410156250000,  ,  ,  20244.7 
cpu ; 445.764831542968750000, 414.443359375000000000,  ,  ,  20306.5 
cpu ; 446.732971191406250000, 417.189270019531250000,  ,  ,  20367.7 
cpu ; 446.554321289062500000, 416.659057617187500000,  ,  ,  20391.3 
cpu ; 445.794006347656250000, 414.073547363281250000,  ,  ,  20274 
cpu ; 444.345336914062500000, 411.696777343750000000,  ,  ,  20259.2 
cpu ; 446.228149414062500000, 413.000915527343750000,  ,  ,  20346.6 
cpu ; 446.703491210937500000, 415.410583496093750000,  ,  ,  20344.5 
cpu ; 445.879516601562500000, 414.222839355468750000,  ,  ,  20311.9 
cpu ; 447.030334472656250000, 416.261169433593750000,  ,  ,  20356.2 
cpu ; 443.678710937500000000, 412.367065429687500000,  ,  ,  20215.6 
cpu ; 446.022338867187500000, 414.357299804687500000,  ,  ,  20379.1 
cpu ; 446.137023925781250000, 414.937927246093750000,  ,  ,  20316.8 
cpu ; 444.994812011718750000, 413.673034667968750000,  ,  ,  20213.9 
cpu ; 450.383239746093750000, 418.596801757812500000,  ,  ,  20603.2 
cpu ; 445.785461425781250000, 414.502502441406250000,  ,  ,  20263.3 
cpu ; 445.428894042968750000, 413.675720214843750000,  ,  ,  20287.1 
cpu ; 445.400512695312500000, 414.433349609375000000,  ,  ,  20265.7 
cpu ; 444.243530273437500000, 412.415954589843750000,  ,  ,  20303 
cpu ; 444.426025390625000000, 412.991699218750000000,  ,  ,  20357.8 
cpu ; 437.772094726562500000, 406.299682617187500000,  ,  ,  20293.8 
cpu ; 444.416931152343750000, 413.095336914062500000,  ,  ,  20257.8 
cpu ; 439.279296875000000000, 408.011840820312500000,  ,  ,  20329.3 
cpu ; 422.314758300781250000, 392.804626464843750000,  ,  ,  20286.6 
cpu ; 437.007507324218750000, 406.997619628906250000,  ,  ,  20217 
cpu ; 441.461975097656250000, 409.405151367187500000,  ,  ,  20323.3 
cpu ; 430.353271484375000000, 399.335937500000000000,  ,  ,  20332.7 
cpu ; 437.857055664062500000, 406.627990722656250000,  ,  ,  20357.4 
cpu ; 434.799377441406250000, 404.034912109375000000,  ,  ,  20412.5 
cpu ; 433.763244628906250000, 402.301635742187500000,  ,  ,  20217.8 
cpu ; 428.303894042968750000, 396.540039062500000000,  ,  ,  20280.4 
cpu ; 425.059509277343750000, 393.858337402343750000,  ,  ,  20309.4 
cpu ; 427.639770507812500000, 396.109741210937500000,  ,  ,  20329.1 
cpu ; 428.519104003906250000, 397.301086425781250000,  ,  ,  20250.6 
cpu ; 430.657958984375000000, 398.710388183593750000,  ,  ,  20401 
cpu ; 425.702392578125000000, 394.623901367187500000,  ,  ,  20258.4 
cpu ; 426.337768554687500000, 395.063903808593750000,  ,  ,  20426 
cpu ; 417.835632324218750000, 386.932189941406250000,  ,  ,  20330.4 
cpu ; 424.865234375000000000, 393.829895019531250000,  ,  ,  20246.9 
cpu ; 419.858032226562500000, 388.703491210937500000,  ,  ,  20572.2 
cpu ; 423.478515625000000000, 392.185791015625000000,  ,  ,  20316.6 
cpu ; 414.576904296875000000, 382.994628906250000000,  ,  ,  20304.3 
cpu ; 423.270935058593750000, 391.518615722656250000,  ,  ,  20401 
cpu ; 418.060607910156250000, 387.015441894531250000,  ,  ,  20280.8 
cpu ; 416.252197265625000000, 385.152954101562500000,  ,  ,  20242.3 
cpu ; 415.635925292968750000, 384.846191406250000000,  ,  ,  20295.6 
cpu ; 417.636230468750000000, 385.538269042968750000,  ,  ,  20381.5 
cpu ; 412.825073242187500000, 381.949768066406250000,  ,  ,  20283.3 
cpu ; 411.463073730468750000, 380.398132324218750000,  ,  ,  20313.6 
cpu ; 418.791381835937500000, 387.356262207031250000,  ,  ,  20470.9 
cpu ; 413.769165039062500000, 382.713073730468750000,  ,  ,  20306.5 
cpu ; 410.285583496093750000, 379.831359863281250000,  ,  ,  20339.7 
cpu ; 413.169250488281250000, 382.197875976562500000,  ,  ,  20247.8 
