computerID,class,start_time,channelId,exp_duration
DK1081249,cpu,1761814861201,CH2,20258
1761814861204,CH2,POWER,8.39
1761814861212,CH2,POWER,8.39
1761814861220,CH2,POWER,8.39
1761814861229,CH2,POWER,8.39
1761814861237,CH2,POWER,8.39
1761814861247,CH2,POWER,8.39
1761814861258,CH2,POWER,8.39
1761814861267,CH2,POWER,8.39
1761814861279,CH2,POWER,8.39
1761814861288,CH2,POWER,8.39
1761814861298,CH2,POWER,8.39
1761814861308,CH2,POWER,8.39
1761814861317,CH2,POWER,8.39
1761814861328,CH2,POWER,8.39
1761814861336,CH2,POWER,8.39
1761814861348,CH2,POWER,8.39
1761814861358,CH2,POWER,8.39
1761814861368,CH2,POWER,8.39
1761814861376,CH2,POWER,8.39
1761814861384,CH2,POWER,8.39
1761814861394,CH2,POWER,8.39
1761814861405,CH2,POWER,8.39
1761814861413,CH2,POWER,8.39
1761814861424,CH2,POWER,8.39
1761814861432,CH2,POWER,8.39
1761814861441,CH2,POWER,8.39
1761814861450,CH2,POWER,8.39
1761814861459,CH2,POWER,8.39
1761814861468,CH2,POWER,8.39
1761814861477,CH2,POWER,8.39
1761814861486,CH2,POWER,8.39
1761814861496,CH2,POWER,8.39
1761814861507,CH2,POWER,8.39
1761814861517,CH2,POWER,8.39
1761814861526,CH2,POWER,8.39
1761814861534,CH2,POWER,8.39
1761814861543,CH2,POWER,8.39
1761814861553,CH2,POWER,8.39
1761814861585,CH2,POWER,28.47
1761814861594,CH2,POWER,28.47
1761814861604,CH2,POWER,28.47
1761814861612,CH2,POWER,28.47
1761814861621,CH2,POWER,28.47
1761814861629,CH2,POWER,28.47
1761814861641,CH2,POWER,28.47
1761814861649,CH2,POWER,28.47
1761814861661,CH2,POWER,28.47
1761814861672,CH2,POWER,28.47
1761814861681,CH2,POWER,28.47
1761814861693,CH2,POWER,28.47
1761814861704,CH2,POWER,28.47
1761814861713,CH2,POWER,28.47
1761814861723,CH2,POWER,28.47
1761814861732,CH2,POWER,28.47
1761814861741,CH2,POWER,28.47
1761814861751,CH2,POWER,28.47
1761814861759,CH2,POWER,28.47
1761814861769,CH2,POWER,28.47
1761814861781,CH2,POWER,28.47
1761814861793,CH2,POWER,28.47
1761814861804,CH2,POWER,28.47
1761814861814,CH2,POWER,28.47
1761814861824,CH2,POWER,28.47
1761814861833,CH2,POWER,28.47
1761814861841,CH2,POWER,28.47
1761814861849,CH2,POWER,28.47
1761814861857,CH2,POWER,28.47
1761814861865,CH2,POWER,28.47
1761814861873,CH2,POWER,28.47
1761814861881,CH2,POWER,28.47
1761814861891,CH2,POWER,28.47
1761814861899,CH2,POWER,28.47
1761814861907,CH2,POWER,28.47
1761814861915,CH2,POWER,28.47
1761814861925,CH2,POWER,28.47
1761814861933,CH2,POWER,28.47
1761814861941,CH2,POWER,28.47
1761814861949,CH2,POWER,28.47
1761814861978,CH2,POWER,28.47
1761814861986,CH2,POWER,28.47
1761814861994,CH2,POWER,28.47
1761814862004,CH2,POWER,28.47
1761814862012,CH2,POWER,28.47
1761814862021,CH2,POWER,28.47
1761814862031,CH2,POWER,28.47
1761814862042,CH2,POWER,28.47
1761814862051,CH2,POWER,28.47
1761814862059,CH2,POWER,28.47
1761814862070,CH2,POWER,28.47
1761814862078,CH2,POWER,28.47
1761814862087,CH2,POWER,28.47
1761814862100,CH2,POWER,28.47
1761814862108,CH2,POWER,28.47
1761814862116,CH2,POWER,28.47
1761814862125,CH2,POWER,28.47
1761814862134,CH2,POWER,28.47
1761814862142,CH2,POWER,28.47
1761814862151,CH2,POWER,28.47
1761814862159,CH2,POWER,28.47
1761814862167,CH2,POWER,28.47
1761814862178,CH2,POWER,28.47
1761814862188,CH2,POWER,28.47
1761814862196,CH2,POWER,28.47
1761814862204,CH2,POWER,28.47
1761814862213,CH2,POWER,28.47
1761814862222,CH2,POWER,28.47
1761814862230,CH2,POWER,28.47
1761814862239,CH2,POWER,28.47
